,depth,p_sex,p_age,count,mean,std,min,Q1,median_growth,Q3,max,median_wage,category
202,15,1,42,8.0,397.5,119.01,280.0,315.0,9.14,435.0,650.0,375.0,2_depth
203,15,1,43,11.0,554.55,260.51,280.0,380.0,8.98,675.0,1160.0,420.0,2_depth
204,15,1,44,8.0,574.12,237.05,300.0,390.0,4.38,674.75,1000.0,550.0,2_depth
205,15,1,45,8.0,611.12,295.66,300.0,391.25,17.13,793.25,1167.0,525.0,2_depth
206,15,1,46,8.0,520.0,238.87,260.0,375.0,2.83,575.0,950.0,475.0,2_depth
207,15,1,47,7.0,592.86,383.44,300.0,325.0,4.81,600.0,1400.0,600.0,2_depth
208,15,1,48,13.0,670.38,375.25,250.0,300.0,3.98,1000.0,1400.0,600.0,2_depth
209,15,1,49,15.0,588.93,312.62,230.0,375.0,0.0,712.5,1400.0,510.0,2_depth
210,15,1,50,14.0,531.43,199.19,150.0,500.0,0.0,600.0,860.0,540.0,2_depth
211,15,1,51,11.0,579.09,219.34,200.0,425.0,-4.94,700.0,1000.0,600.0,2_depth
212,15,1,52,9.0,748.67,298.88,350.0,500.0,0.38,1000.0,1200.0,700.0,2_depth
213,15,1,53,6.0,684.67,271.9,458.0,500.0,-0.53,862.5,1100.0,550.0,2_depth
214,15,1,54,5.0,1160.0,516.48,550.0,750.0,6.99,1500.0,1800.0,1200.0,2_depth
215,15,1,55,5.0,920.0,327.11,500.0,800.0,0.0,1000.0,1400.0,900.0,2_depth
216,15,1,56,6.0,1016.67,636.13,250.0,587.5,3.1,1300.0,2000.0,1000.0,2_depth
217,15,1,57,5.0,570.0,272.95,250.0,300.0,-6.17,800.0,800.0,700.0,2_depth
218,15,1,58,5.0,474.0,207.68,250.0,350.0,-2.21,500.0,800.0,470.0,2_depth
219,15,1,59,7.0,467.14,273.05,200.0,285.0,0.0,550.0,1000.0,400.0,2_depth
220,15,1,60,7.0,535.71,265.7,300.0,300.0,-3.53,675.0,1000.0,500.0,2_depth
221,15,1,61,6.0,436.67,217.41,200.0,300.0,-10.1,515.0,800.0,400.0,2_depth
222,15,1,62,7.0,500.86,171.46,275.0,375.0,0.0,620.5,700.0,540.0,2_depth
223,15,1,63,6.0,443.33,185.76,200.0,335.0,7.99,570.0,700.0,415.0,2_depth
224,15,1,64,5.0,444.6,238.64,193.0,300.0,3.23,700.0,700.0,330.0,2_depth
225,15,1,65,4.0,495.0,154.16,330.0,420.0,6.1,550.0,700.0,475.0,2_depth
226,15,1,66,3.0,436.67,70.95,360.0,405.0,3.71,475.0,500.0,450.0,2_depth
227,15,1,67,2.0,450.0,70.71,400.0,425.0,3.11,475.0,500.0,450.0,2_depth
228,15,1,68,2.0,650.0,494.97,300.0,475.0,3.84,825.0,1000.0,650.0,2_depth
229,15,1,69,2.0,660.0,226.27,500.0,580.0,6.12,740.0,820.0,660.0,2_depth
230,15,1,70,3.0,650.0,180.28,500.0,550.0,-10.8,725.0,850.0,600.0,2_depth
231,15,1,71,3.0,700.0,100.0,600.0,650.0,-5.88,750.0,800.0,700.0,2_depth
232,15,1,73,1.0,600.0,,600.0,600.0,-10.96,600.0,600.0,600.0,2_depth
233,15,1,74,1.0,1000.0,,1000.0,1000.0,4.15,1000.0,1000.0,1000.0,2_depth
234,15,1,75,1.0,700.0,,700.0,700.0,-3.81,700.0,700.0,700.0,2_depth
235,15,1,76,1.0,750.0,,750.0,750.0,-2.06,750.0,750.0,750.0,2_depth
236,15,2,47,1.0,400.0,,400.0,400.0,,400.0,400.0,400.0,2_depth
237,15,2,48,1.0,500.0,,500.0,500.0,,500.0,500.0,500.0,2_depth
238,15,2,49,1.0,500.0,,500.0,500.0,0.0,500.0,500.0,500.0,2_depth
239,15,2,50,1.0,600.0,,600.0,600.0,9.54,600.0,600.0,600.0,2_depth
240,15,2,51,1.0,600.0,,600.0,600.0,6.27,600.0,600.0,600.0,2_depth
241,21,1,25,3.0,1072.0,1410.51,216.0,258.0,,1500.0,2700.0,300.0,2_depth
242,21,1,26,4.0,247.5,97.43,150.0,195.0,-32.78,282.5,380.0,230.0,2_depth
243,21,1,27,5.0,271.4,68.48,200.0,200.0,-7.4,332.0,340.0,285.0,2_depth
244,21,1,28,4.0,313.75,64.21,250.0,276.25,30.0,340.0,400.0,302.5,2_depth
245,21,1,29,8.0,255.0,156.75,100.0,167.5,18.92,300.0,600.0,215.0,2_depth
246,21,1,30,5.0,228.0,127.16,100.0,100.0,8.7,300.0,390.0,250.0,2_depth
247,21,1,31,8.0,233.12,118.77,95.0,115.0,8.16,325.0,390.0,250.0,2_depth
248,21,1,32,8.0,255.62,106.69,105.0,165.0,6.27,312.5,390.0,300.0,2_depth
249,21,1,33,11.0,255.73,76.51,140.0,201.5,6.99,302.5,375.0,280.0,2_depth
250,21,1,34,13.0,314.31,110.27,125.0,250.0,3.03,350.0,560.0,320.0,2_depth
251,21,1,35,11.0,331.82,101.08,130.0,275.0,8.85,390.0,500.0,350.0,2_depth
252,21,1,36,8.0,393.12,198.94,160.0,276.25,17.78,465.0,800.0,370.0,2_depth
253,21,1,37,10.0,364.0,167.61,150.0,292.5,17.22,475.0,700.0,320.0,2_depth
254,21,1,38,6.0,390.0,108.63,250.0,305.0,4.37,487.5,500.0,400.0,2_depth
255,21,1,39,7.0,390.71,144.64,150.0,300.0,9.33,500.0,520.0,465.0,2_depth
256,21,1,40,6.0,622.5,303.21,350.0,400.0,10.06,896.25,1000.0,492.5,2_depth
