,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,31.0,31,1.0,1,70~74,1.55,233.9,48.0
0,31.0,31,1.0,1,75~79,3.28,282.1,10.0
0,,31,,1,80~84,,,0.0
0,,31,,1,85~89,,,0.0
0,,31,,1,90~94,,,0.0
0,,31,,1,95~99,,,0.0
0,31.0,31,2.0,2,20~24,5.48,183.9,330.0
0,31.0,31,2.0,2,25~29,5.2,208.2,961.0
0,31.0,31,2.0,2,30~34,3.25,230.0,1106.0
0,31.0,31,2.0,2,35~39,3.53,260.0,1097.0
0,31.0,31,2.0,2,40~44,3.54,266.4,905.0
0,31.0,31,2.0,2,45~49,3.4,268.1,613.0
0,31.0,31,2.0,2,50~54,2.49,238.7,330.0
0,31.0,31,2.0,2,55~59,3.37,249.9,164.0
0,31.0,31,2.0,2,60~64,4.08,249.2,57.0
0,31.0,31,2.0,2,65~69,3.56,200.8,24.0
0,31.0,31,2.0,2,70~74,2.83,231.83,4.0
0,,31,,2,75~79,,,0.0
0,31.0,31,2.0,2,80~84,,315.0,1.0
0,,31,,2,85~89,,,0.0
0,,31,,2,90~94,,,0.0
0,,31,,2,95~99,,,0.0
0,32.0,32,1.0,1,20~24,,201.25,3.0
0,32.0,32,1.0,1,25~29,14.23,279.3,47.0
0,32.0,32,1.0,1,30~34,6.1,344.8,100.0
0,32.0,32,1.0,1,35~39,3.36,395.3,147.0
0,32.0,32,1.0,1,40~44,3.29,521.9,126.0
0,32.0,32,1.0,1,45~49,1.66,641.4,107.0
0,32.0,32,1.0,1,50~54,0.93,601.7,46.0
0,32.0,32,1.0,1,55~59,-2.5,444.7,24.0
0,32.0,32,1.0,1,60~64,-4.87,307.33,9.0
0,,32,,1,65~69,,,0.0
0,,32,,1,70~74,,,0.0
0,,32,,1,75~79,,,0.0
0,,32,,1,80~84,,,0.0
0,,32,,1,85~89,,,0.0
0,,32,,1,90~94,,,0.0
0,,32,,1,95~99,,,0.0
0,32.0,32,2.0,2,20~24,3.29,242.1,29.0
0,32.0,32,2.0,2,25~29,7.94,271.0,116.0
0,32.0,32,2.0,2,30~34,5.51,329.5,161.0
0,32.0,32,2.0,2,35~39,4.94,355.7,139.0
0,32.0,32,2.0,2,40~44,3.06,432.1,76.0
0,32.0,32,2.0,2,45~49,1.21,458.4,38.0
0,32.0,32,2.0,2,50~54,0.38,457.0,22.0
0,32.0,32,2.0,2,55~59,19.41,329.8,7.0
0,32.0,32,2.0,2,60~64,7.36,319.75,4.0
0,,32,,2,65~69,,,0.0
0,,32,,2,70~74,,,0.0
0,,32,,2,75~79,,,0.0
0,,32,,2,80~84,,,0.0
0,,32,,2,85~89,,,0.0
0,,32,,2,90~94,,,0.0
0,,32,,2,95~99,,,0.0
0,,33,,1,20~24,,,0.0
0,33.0,33,1.0,1,25~29,,247.33,5.0
0,33.0,33,1.0,1,30~34,11.82,303.2,15.0
0,33.0,33,1.0,1,35~39,4.1,332.1,33.0
0,33.0,33,1.0,1,40~44,2.09,384.9,24.0
0,33.0,33,1.0,1,45~49,4.74,452.6,16.0
0,33.0,33,1.0,1,50~54,1.4,477.1,20.0
0,33.0,33,1.0,1,55~59,-1.39,452.7,19.0
0,33.0,33,1.0,1,60~64,-2.06,245.88,9.0
0,33.0,33,1.0,1,65~69,,175.5,2.0
0,33.0,33,1.0,1,70~74,,224.0,1.0
0,,33,,1,75~79,,,0.0
0,,33,,1,80~84,,,0.0
0,,33,,1,85~89,,,0.0
0,,33,,1,90~94,,,0.0
0,,33,,1,95~99,,,0.0
0,33.0,33,2.0,2,20~24,-1.13,161.33,6.0
0,33.0,33,2.0,2,25~29,19.38,163.8,21.0
0,33.0,33,2.0,2,30~34,3.46,205.2,25.0
0,33.0,33,2.0,2,35~39,4.64,214.0,31.0
0,33.0,33,2.0,2,40~44,4.36,243.8,30.0
0,33.0,33,2.0,2,45~49,2.08,263.6,27.0
0,33.0,33,2.0,2,50~54,-0.5,245.5,6.0
0,,33,,2,55~59,,,0.0
0,,33,,2,60~64,,,0.0
0,,33,,2,65~69,,,0.0
0,,33,,2,70~74,,,0.0
0,,33,,2,75~79,,,0.0
0,,33,,2,80~84,,,0.0
0,,33,,2,85~89,,,0.0
0,,33,,2,90~94,,,0.0
0,,33,,2,95~99,,,0.0
0,39.0,39,1.0,1,20~24,1.1,166.5,5.0
0,39.0,39,1.0,1,25~29,38.85,216.1,28.0
0,39.0,39,1.0,1,30~34,11.29,242.9,51.0
0,39.0,39,1.0,1,35~39,4.47,342.2,42.0
0,39.0,39,1.0,1,40~44,2.9,367.3,62.0
0,39.0,39,1.0,1,45~49,4.94,293.2,42.0
0,39.0,39,1.0,1,50~54,0.52,367.0,13.0
0,39.0,39,1.0,1,55~59,-4.19,290.5,23.0
0,39.0,39,1.0,1,60~64,7.59,287.6,21.0
0,39.0,39,1.0,1,65~69,4.49,230.33,4.0
0,39.0,39,1.0,1,70~74,-11.94,223.8,5.0
0,,39,,1,75~79,,,0.0
0,,39,,1,80~84,,,0.0
0,,39,,1,85~89,,,0.0
0,,39,,1,90~94,,,0.0
0,,39,,1,95~99,,,0.0
0,39.0,39,2.0,2,20~24,6.23,166.3,54.0
0,39.0,39,2.0,2,25~29,4.36,204.4,127.0
0,39.0,39,2.0,2,30~34,3.3,217.2,128.0
0,39.0,39,2.0,2,35~39,2.58,212.6,134.0
0,39.0,39,2.0,2,40~44,3.79,189.7,130.0
0,39.0,39,2.0,2,45~49,4.0,199.1,100.0
0,39.0,39,2.0,2,50~54,2.3,201.0,46.0
0,39.0,39,2.0,2,55~59,0.41,200.4,18.0
0,39.0,39,2.0,2,60~64,2.48,265.5,11.0
0,39.0,39,2.0,2,65~69,-4.2,198.75,4.0
0,39.0,39,2.0,2,70~74,-1.46,219.0,1.0
0,,39,,2,75~79,,,0.0
0,,39,,2,80~84,,,0.0
0,,39,,2,85~89,,,0.0
0,,39,,2,90~94,,,0.0
0,,39,,2,95~99,,,0.0
0,41.0,41,1.0,1,20~24,,197.5,8.0
0,41.0,41,1.0,1,25~29,9.07,220.4,94.0
0,41.0,41,1.0,1,30~34,5.14,297.0,129.0
0,41.0,41,1.0,1,35~39,3.67,364.3,211.0
0,41.0,41,1.0,1,40~44,3.85,412.9,181.0
0,41.0,41,1.0,1,45~49,2.68,461.1,149.0
0,41.0,41,1.0,1,50~54,2.17,503.8,106.0
0,41.0,41,1.0,1,55~59,1.74,490.9,80.0
0,41.0,41,1.0,1,60~64,0.56,374.67,11.0
0,41.0,41,1.0,1,65~69,,138.83,4.0
0,,41,,1,70~74,,,0.0
0,,41,,1,75~79,,,0.0
0,,41,,1,80~84,,,0.0
0,,41,,1,85~89,,,0.0
0,,41,,1,90~94,,,0.0
0,,41,,1,95~99,,,0.0
0,41.0,41,2.0,2,20~24,30.69,224.12,9.0
0,41.0,41,2.0,2,25~29,3.93,243.4,24.0
0,41.0,41,2.0,2,30~34,1.9,259.9,16.0
0,41.0,41,2.0,2,35~39,2.77,295.3,29.0
0,41.0,41,2.0,2,40~44,2.76,313.2,19.0
0,41.0,41,2.0,2,45~49,1.97,384.3,10.0
0,41.0,41,2.0,2,50~54,0.25,297.0,2.0
