,depth2,p_sex2,p_age_range,median_wage
9,82,2,65~69,195.2
0,83,1,20~24,181.17
1,83,1,25~29,232.5
2,83,1,30~34,291.8
3,83,1,35~39,304.3
4,83,1,40~44,338.0
5,83,1,45~49,357.9
6,83,1,50~54,400.0
7,83,1,55~59,385.0
8,83,1,60~64,264.5
9,83,1,65~69,263.6
10,83,1,70~74,287.5
0,83,2,20~24,169.0
1,83,2,25~29,345.0
2,83,2,30~34,256.3
3,83,2,35~39,199.9
4,83,2,40~44,175.0
5,83,2,45~49,170.4
6,83,2,50~54,179.1
7,83,2,55~59,188.4
8,83,2,60~64,170.12
0,84,1,20~24,219.5
1,84,1,25~29,245.8
2,84,1,30~34,299.1
3,84,1,35~39,310.9
4,84,1,40~44,329.7
5,84,1,45~49,367.3
6,84,1,50~54,373.8
7,84,1,55~59,298.9
8,84,1,60~64,326.3
9,84,1,65~69,302.8
10,84,1,70~74,216.38
0,84,2,20~24,152.33
1,84,2,25~29,150.83
2,84,2,30~34,203.0
3,84,2,35~39,157.2
4,84,2,40~44,189.62
5,84,2,45~49,209.1
6,84,2,50~54,201.7
7,84,2,55~59,212.1
8,84,2,60~64,219.3
9,84,2,65~69,152.33
0,85,1,20~24,200.6
1,85,1,25~29,238.7
2,85,1,30~34,284.1
3,85,1,35~39,327.1
4,85,1,40~44,355.9
5,85,1,45~49,414.2
6,85,1,50~54,428.1
7,85,1,55~59,353.6
8,85,1,60~64,251.3
9,85,1,65~69,288.1
10,85,1,70~74,308.4
11,85,1,75~79,258.0
0,85,2,20~24,233.6
1,85,2,25~29,192.2
2,85,2,30~34,180.5
3,85,2,35~39,179.0
4,85,2,40~44,183.8
5,85,2,45~49,188.6
6,85,2,50~54,184.6
7,85,2,55~59,198.4
8,85,2,60~64,200.3
9,85,2,65~69,158.0
0,86,1,20~24,203.4
1,86,1,25~29,245.5
2,86,1,30~34,264.7
3,86,1,35~39,329.9
4,86,1,40~44,358.7
5,86,1,45~49,348.8
6,86,1,50~54,314.6
7,86,1,55~59,279.7
8,86,1,60~64,246.1
9,86,1,65~69,249.6
10,86,1,70~74,228.8
0,86,2,20~24,247.2
1,86,2,25~29,219.1
2,86,2,30~34,232.6
3,86,2,35~39,176.5
4,86,2,40~44,159.1
5,86,2,45~49,169.3
6,86,2,50~54,194.8
7,86,2,55~59,181.3
8,86,2,60~64,209.1
9,86,2,65~69,144.0
10,86,2,70~74,0.0
11,86,2,75~79,76.0
0,87,1,20~24,145.5
1,87,1,25~29,225.1
2,87,1,30~34,277.4
3,87,1,35~39,328.5
4,87,1,40~44,317.8
5,87,1,45~49,308.9
6,87,1,50~54,290.7
7,87,1,55~59,279.7
8,87,1,60~64,224.0
9,87,1,65~69,185.6
10,87,1,70~74,152.8
11,87,1,75~79,178.0
0,87,2,20~24,0.0
1,87,2,25~29,298.0
2,87,2,30~34,88.5
3,87,2,35~39,155.0
4,87,2,40~44,174.0
5,87,2,45~49,199.1
6,87,2,50~54,172.4
7,87,2,55~59,181.8
8,87,2,60~64,189.62
9,87,2,65~69,171.8
0,88,1,20~24,0.0
1,88,1,25~29,329.33
2,88,1,30~34,275.5
3,88,1,35~39,341.0
4,88,1,40~44,337.2
5,88,1,45~49,424.3
6,88,1,50~54,397.8
7,88,1,55~59,648.7
8,88,1,60~64,253.75
9,88,1,65~69,140.4
10,88,1,70~74,83.0
11,88,1,75~79,76.0
0,89,1,20~24,180.38
1,89,1,25~29,246.0
2,89,1,30~34,259.0
3,89,1,35~39,306.7
4,89,1,40~44,324.6
5,89,1,45~49,366.1
6,89,1,50~54,307.4
7,89,1,55~59,262.3
8,89,1,60~64,261.5
9,89,1,65~69,211.0
10,89,1,70~74,255.5
11,89,1,75~79,270.9
0,89,2,20~24,181.25
1,89,2,25~29,188.9
2,89,2,30~34,190.5
3,89,2,35~39,196.3
4,89,2,40~44,210.6
5,89,2,45~49,156.6
6,89,2,50~54,167.0
7,89,2,55~59,176.4
8,89,2,60~64,146.5
9,89,2,65~69,134.0
0,91,1,20~24,183.5
1,91,1,25~29,229.1
2,91,1,30~34,230.9
3,91,1,35~39,212.2
4,91,1,40~44,226.9
5,91,1,45~49,211.5
6,91,1,50~54,227.1
7,91,1,55~59,213.8
8,91,1,60~64,210.5
9,91,1,65~69,169.8
